Uuid,Void/Retire,Fully specified name:en,Data class,Data type,Same as mappings,_version:1,_order:2500
100AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Gentamicin,Drug,N/A,CIEL:100,,
282AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,"Insulin, regular",Drug,N/A,CIEL:282,,
351AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Oral rehydration salts,Drug,N/A,CIEL:351,,
431AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Hyoscine butylbromide,Drug,N/A,CIEL:431,,
450AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Amoxicillin and clavulanic acid,Drug,N/A,CIEL:450,,
461AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Multivitamin,Drug,N/A,CIEL:461,,
773AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Ferrous sulfate and folic acid,Drug,N/A,CIEL:773,,
798AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Salbutamol,Drug,N/A,CIEL:798,,
913AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Chlorphenamine,Drug,N/A,CIEL:913,,
931AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Amitriptyline,Drug,N/A,CIEL:931,,
1447AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Artemether-lumefantrine,Drug,N/A,CIEL:1447,,
1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Tablet,Misc,N/A,CIEL:1513,,
1515AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Syrup,Misc,N/A,CIEL:1515,,
1516AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Solution for injection,Misc,N/A,CIEL:1516,,
1520AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Ophthalmic ointment,Misc,N/A,CIEL:1520,,
1608AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Capsule,Misc,N/A,CIEL:1608,,
1940AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Oral suspension,Drug form,N/A,CIEL:1940,,
70116AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Acetaminophen,Drug,N/A,CIEL:70116,,
70125AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Acetazolamide,Drug,N/A,CIEL:70125,,
70148AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Acetylcysteine,Drug,N/A,CIEL:70148,,
70229AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Activated charcoal,Drug,N/A,CIEL:70229,,
70245AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Acyclovir,Drug,N/A,CIEL:70245,,
70439AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Albendazole,Drug,N/A,CIEL:70439,,
70878AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Allopurinol,Drug,N/A,CIEL:70878,,
71101AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Aminophylline,Drug,N/A,CIEL:71101,,
71137AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Amlodipine,Drug,N/A,CIEL:71137,,
71160AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Amoxicillin,Drug,N/A,CIEL:71160,,
71188AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Ampicillin,Drug,N/A,CIEL:71188,,
71560AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Artemether,Drug,N/A,CIEL:71560,,
71561AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Artesunate,Drug,N/A,CIEL:71561,,
71617AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Aspirin,Drug,N/A,CIEL:71617,,
71652AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Atenolol,Drug,N/A,CIEL:71652,,
71665AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Atorvastatin,Drug,N/A,CIEL:71665,,
71681AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Atropine,Drug,N/A,CIEL:71681,,
71780AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Azithromycin,Drug,N/A,CIEL:71780,,
71917AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Beclomethasone dipropionate,Drug,N/A,CIEL:71917,,
71983AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Bendroflumethiazide,Drug,N/A,CIEL:71983,,
72063AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Benzoyl peroxide,Drug,N/A,CIEL:72063,,
72071AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Benztropine,Drug,N/A,CIEL:72071,,
72075AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Benzyl benzoate,Drug,N/A,CIEL:72075,,
72139AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Betaxolol hydrochloride,Drug,N/A,CIEL:72139,,
72223AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Bisacodyl,Drug,N/A,CIEL:72223,,
72247AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Bisoprolol,Drug,N/A,CIEL:72247,,
72484AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Budesonide,Drug,N/A,CIEL:72484,,
72621AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Calamine,Drug,N/A,CIEL:72621,,
72660AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Calcium carbonate,Drug,N/A,CIEL:72660,,
72678AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Calcium gluconate,Drug,N/A,CIEL:72678,,
72822AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Carbamazepine,Drug,N/A,CIEL:72822,,
72848AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Carbimazole,Drug,N/A,CIEL:72848,,
72861AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Carbocysteine,Drug,N/A,CIEL:72861,,
72987AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Cefaclor,Drug,N/A,CIEL:72987,,
73018AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Cefotaxime,Drug,N/A,CIEL:73018,,
