Uuid,Void/Retire,Name,_order:9000
77497f60-8ff1-4508-bf74-00944e5c030d,TRUE,Oxycodone/Acetaminophen 5mg+325mg,
e6b91fc3-8961-493e-9acb-5853162ffec7,TRUE,Famotidine,
dd87f758-a49b-44ac-841b-16b61c176244,TRUE,Azithromycin,
7a595a6a-8c0b-4725-addd-ad2d82100b98,TRUE,Ceftriaxone 1g,
9762b8c0-bdba-49ed-ae32-0290a04e8ab9,TRUE,Ondansetron,
5668deaf-9459-42df-bea8-db378f0d38f6,TRUE,Oxycodone,
988bf012-f48f-4ed2-a6f1-5488505584e6,TRUE,Acetaminophen,
dfd36a48-1946-454c-bc04-8dc7cada7120,TRUE,Acetaminophen 325 mg,
85315e68-f8f1-43e6-b957-ae773bfaf9b7,TRUE,Lisinopril,
c6f2234a-75ed-4530-bd60-1196fd84d0c6,TRUE,Lisinopril 2.5 mg,
e5300d81-b7cd-4010-8a1c-269030d5bab4,TRUE,Lisinopril 5 mg,
e6bd712f-5fb7-4704-8cc3-f26b7f710d20,TRUE,Lisinopril 10 mg,
1e5421d1-abcd-4d88-8776-1a8057506aba,TRUE,Lisinopril 20 mg,
f6ad6ed0-953c-4b45-ba41-2f302f3b8b09,TRUE,Lisinopril 30 mg,
41323ed9-967b-4afa-bc9b-cda3ceb42050,TRUE,Lisinopril 40 mg,
43615798-db46-4e2a-95a8-182ead4da45b,TRUE,Amlodipine,
00a789ff-da44-42b9-b929-3a069d98d3e1,TRUE,Amlodipine 5mg,
762b4267-6ce6-4de7-8342-7d415fedda6b,TRUE,Levothyroxine sodium,
15c7d21f-cd1a-4eed-ab79-2fcfe0d99592,TRUE,Levothyroxine sodium 75 mcg,
a80acf74-a85c-4fef-8dc4-d763e364663f,TRUE,Metformin,
81dadd82-3ac8-4aab-9f61-848b89b3f053,TRUE,Metformin Co,
721497f0-dcf4-4f05-8fe7-e2e487b0d774,TRUE,Metformin Co 500mg,
d590f509-1e79-479c-bcdd-5f3812b16803,TRUE,Metformin Co 1000mg,
405bf055-32ff-405c-b041-4e4543f66e99,TRUE,Metformin 1000mg,
3543c654-0834-4c90-982c-5e277005c15d,TRUE,Griséofulvine Co 500mg,
3af6ca73-f2ee-43ff-8464-fa00bf525e9b,TRUE,Advil 200mg,
143c0048-33d5-46e6-b7b9-85b12769b629,TRUE,Multi-Vitamin Adult,
9c257346-524c-4eef-bcf3-2cf4b472b2a8,TRUE,Multi-Vitamin Children,
fb601ad7-ffb6-4624-8f64-93522bb8d4ac,TRUE,Multi-Vitamin Prenatal,
124a4a8e-f920-4898-b3d0-6d463b1c3db2,TRUE,Atenolol 50mg,
b0ce9018-f569-4380-a233-97efb9d2a168,TRUE,Hydrochlorothiazide 50mg,
6ca6fa54-5b32-4d64-a66c-542c0889f840,TRUE,Lasix 20mg,
09e58895-e7f0-4649-b7c0-e665c5c08e93,TRUE,Aspirin 81mg,
38087db3-7395-431f-88d5-bb25e06e33f1,TRUE,Aspirin 325mg,
8d4d2102-52a5-445d-9e0f-462d8967336a,TRUE,Celebrex 200mg,
c0a931b7-c900-45fe-b672-b78a00f41ed2,TRUE,Neurontin 100mg,
12da54e5-294a-4be2-834c-4ffd996a5bf6,TRUE,Neurontin 800mg,
fc882328-40ef-4fa3-852f-81f69fcf954f,TRUE,Tums,
0adc85cf-de4e-4c4b-a483-d8586f19626b,TRUE,Prilosec 20mg,
d5d560bc-e481-4874-93d0-a1023d1ce766,TRUE,Zantac 150mg,
45395ed4-63b2-43d2-af2a-23f4dc8e1b9e,TRUE,Protonix 20mg,
d6a60960-b4df-4ab0-a231-1c3fcc8414e1,TRUE,Glucotrol 5mg,
af4be8ee-45b3-47e3-a32e-1c3bfb2e6f61,TRUE,Glipizide Er 3mg,
912e4679-7758-403e-8441-5b528561f7bc,TRUE,Glipizide Er 6mg,
2949ec94-0e60-4a99-b699-e36daa665033,TRUE,Bacitracin,
f691c1c4-1fe3-4fd5-afbf-2167ad241164,TRUE,Lotrimin 1%,
4125aa3e-4b43-41c2-99a3-00bb71978084,TRUE,Nystatin 100000U/g,
5363a53f-a3c2-4a29-b7f0-a4b075052e5e,TRUE,Levaquin 250mg,
5449d13a-591f-4840-9739-870966625f0f,TRUE,Valtrex 1g,
12dd160a-2ab4-4b95-900c-40ebf6ccc55f,TRUE,Doxycycline 100mg,
76a434fd-df90-4b19-ba47-26ddd7a00437,TRUE,Diflucan 200mg,
56034516-35a4-4bca-826e-df42008ebeed,TRUE,Albenza 400mg,
396c0447-c8e2-4f2f-a9a1-b664efe352ea,TRUE,Lindane 1%,
a8355c83-31db-4089-a962-512e35097ef0,TRUE,Amoxicillin 500mg,
8dd89c2e-b45b-4fea-98d5-f6b9f02247c1,TRUE,Ceftin 250mg/5ml,
dfc7e569-4e44-4b11-bc7f-4d0d7b768fd4,TRUE,Spiriva,
0ba092a4-3fc1-4d45-a2cb-c7eaf95d6ebd,TRUE,Pulmicort,
83d3ac4b-1aa8-40bb-83dd-7381a2876dc1,TRUE,Proventil,
8833d035-ac2d-4d23-b5cc-720ebfee1533,TRUE,Xopenex,
e8b79172-45cd-40ce-9ca8-0a6a652bb47e,TRUE,Cortef,
1fc3e5e1-85dd-4a1e-88fa-5f57e07d727d,TRUE,Miralax 17g,
aae13cbd-1509-4e4d-9b5a-ce6139fb74c2,TRUE,Colace 100mg,
311f1a89-0c75-4b34-bc88-00f2edee9400,TRUE,Senokot 17mg,
8dd28534-a357-4617-8909-2160f7fd7e4c,TRUE,Claritin,
277024fa-a41d-4655-8485-a44ef683c41f,TRUE,Benadryl,
e3a59ed6-c9b9-4bb0-922d-25fc6aa74043,TRUE,Deltasone,
52128175-f648-4a4b-bb2d-4d7a97ea4b6e,TRUE,Vitamin B12 1000mcg,
28dc1ebd-945e-4795-9060-5c60ffb5a577,TRUE,Ultram 50mg,
b9f17974-47ba-430f-9a17-352f50241e90,TRUE,Flexeril 5mg,
7104f6ed-8793-4b51-8425-5fcb9cf8a59e,TRUE,Bismuth subsalicylate 300mg,
ce6b9fe4-6cbc-495e-8744-20a9cb48f1cf,TRUE,Esomeprazole 20mg,
637499ff-1c54-4722-ba57-3e41b3d22a49,TRUE,Permethrin,
47453ba1-85f2-4c78-b1c7-8b3c79e40df2,TRUE,Zeasorb 2%,
2f6bc24e-bd9e-4520-a6ba-f999ef7cbafd,TRUE,Tolnoftate 1%,
f321c087-0a5b-48c1-a605-3954e6159b86,TRUE,Xylocaine,
63e5f917-ce97-47c4-8423-126bd798636e,TRUE,Normal Saline 0.9%,
856c6ba9-201e-4022-a4b4-6d8aafeff7fd,TRUE,Dermadex 10mg,
60508974-752a-4960-b0be-f0e6aa6da64b,TRUE,Inderal 80mg,
b6a421fd-50f2-4ed7-b687-23d985e42a50,TRUE,Glucotrol 10mg,
ab1a18bd-926d-48f3-8006-16314952698b,TRUE,Glyburide 5mg,
54e1a064-172b-4d3c-ae8e-b78afb368c37,TRUE,Glyburide 3mg,
e79df49a-71a6-4169-952c-0225048cb482,TRUE,Glyburide 6mg,
8d883d65-9473-46ff-8b14-0ebe1f9a86da,TRUE,Ceclor 125mg/5ml,
91450143-ca6e-46fe-9fff-274be47521db,TRUE,Famvir 250mg,
b9934447-70bb-4ef3-a65d-ff7cffe39025,TRUE,Levaquin 250mg,
b257beaf-a967-4822-8f78-9f87be045959,TRUE,Minocin 90mg,
ca382f91-17b3-4b54-973e-8ccbdd89b8e1,TRUE,Cleocin 300mg,
9c38ea14-0972-46a9-9dac-76cafbb44971,TRUE,Cipro 250mg,
03f18d86-ac0a-49a6-87bf-e022119301ad,TRUE,Cipro 500mg,
83d98064-593f-4cf9-bec4-c427d4677f7d,TRUE,Biaxin 500mg,
45e91fa2-5458-4d2f-854b-11f08eb12801,TRUE,Solu-Medrol 125mg/5ml,
827f6978-a666-4c58-8218-7388fdcc6fa3,TRUE,Visine 0.05%,
247b17b0-8fe9-48de-a0f6-4b9a6f1caee8,TRUE,Allegra 60mg,
14af1c0c-decd-41c0-ba07-95059f167ed2,TRUE,Allegra 180mg,
3d215e2e-0560-4afc-9023-e1d1088bf484,TRUE,Robitussin Adult 200mg/5ml,
e42af6eb-e624-402e-bb26-ff2540a390d0,TRUE,Tudorza Pressair 400mcg,
08128635-a443-42af-9b5d-32a2132cef06,TRUE,Pulmicort 90mcg,
931d1308-a72f-4f3a-a627-63d8b3c8c25d,TRUE,Malarone,
b0918013-25be-420f-b133-a76fbedb3406,TRUE,Symbicort 160mcg+4.5mcg,
7c61da9b-9c70-484f-8da7-ca9a45aa56f9,TRUE,Ultracet 37.5mg+325mg,
ed9e55d8-eb78-4e2f-bc57-d5107ac1481c,TRUE,Amoxicillin 125mg/5ml,
d3916ced-81fa-455f-bac7-f0afed65d9b1,TRUE,Tobradex 0.3%+0.1%,
4bc64ce7-18a8-460a-9314-0f89e4ca2d0b,TRUE,Bactrim 160mg+800mg,
8f04e3bf-60da-4e53-a577-f5fac65ec25e,TRUE,Augmentin 600mg+42.9mg/75ml,
e6f2566d-610f-4d78-a3d5-e086d6742c51,TRUE,Advair 500mg+50mg,
1281857e-3426-4ca4-ae06-cd35cb4e0e01,TRUE,Breo 80mg+4.5mg,
51717134-b03a-4951-9e67-9fc56a920a24,TRUE,Hydrocortisone + Acetic Acid Otic,
6a455315-51b3-41db-9e5d-ee03c2ad3cdb,TRUE,Augmentin 250mg+62.5mg/5ml,
2ddaae26-c352-4245-a1d5-b8884068d17b,TRUE,Augmentin 600mg+42.9mg/125ml,
f2736658-a69e-45e0-b289-e771ec86fc0c,TRUE,Advair 250mg+50mg,
a116c770-3d2e-4139-b670-45e021fede4e,TRUE,Advil 400mg,
3e804780-c538-4800-ab4d-da7f710dc4cd,TRUE,Advil 600mg,
62e89330-c656-44dc-bcf9-a7c90111e8c3,TRUE,Albenza 200mg,
e2dc4a41-7f0b-44c7-ac3a-676939f176ef,TRUE,Alclometasone 0.05%,
a8b5bd1d-867a-4159-b585-13fe1bd59dce,TRUE,Amoxicillin 250mg,
0e99b832-3cad-4039-bfb5-0c2f55906f8a,TRUE,Amoxicillin 250mg/5ml,
9e99eb20-5172-433a-ba7e-669b0f2af50b,TRUE,Amoxicillin 400mg/5ml,
a722710f-403b-451f-804b-09f8624b0838,TRUE,Aspirin 162.5mg,
20e0d495-b906-405e-9cc7-1a18e14a5612,TRUE,Atenolol 100mg,
8b8aceae-7a1e-49d1-823a-ae657ea4184f,TRUE,Atenolol 25mg,
41acb9e7-5737-41fb-8931-746355fc0beb,TRUE,Atenolol 75mg,
93ac42d5-b121-4e7c-9f80-37f50bcaff64,TRUE,Bacitracin 500U/g,
1a9438b3-0cfb-4bef-b4fc-dc4324bb4134,TRUE,Benadryl 25mg,
fcc75458-0d8e-4921-b6a8-baf5a7e26d8e,TRUE,Benadryl 50mg,
02005fc7-625e-40de-bfbe-872f85b48e07,TRUE,Betamethasone 0.05%,
19bf89f5-6f1b-4b11-82b7-686d619f5667,TRUE,Biaxin 250mg,
8c855783-fc73-4b3a-a415-4ca6a2b9560e,TRUE,Captopril 12.5mg,
864df3a3-cbda-48d7-86fb-6059b6db713b,TRUE,Captopril 25mg,
d9d1d81a-ab7c-47f5-9dbc-f837b82b4a30,TRUE,Captopril 50mg,
bb8a1afa-9dbc-477d-93b3-411f03f742f7,TRUE,Ceclor 250mg/5ml,
40c49aab-41f0-4782-a1c7-88d190e4ffae,TRUE,Ceftin 125mg/5ml,
a6bb9b34-7417-4602-b2c4-62f8559c0ef9,TRUE,Chloroquine 250mg,
28137a3d-215c-4b8f-bda1-ee13e5bb4bd5,TRUE,Chloroquine 500mg,
372d5752-dc7b-487e-b450-e7cdabacef50,TRUE,Cipro 750mg,
2976fb3e-a020-4a29-8424-878928607e01,TRUE,Claritin 10mg,
3e14295d-63f7-4876-8767-cf93f9c6ca68,TRUE,Claritin 5mg/5ml,
b4abf73f-d647-49a7-9957-a16983d8b211,TRUE,Cleocin 150mg,
8035131f-4346-481b-b746-84837e900781,TRUE,Cleocin 450mg,
c76ca2a3-c70e-42cd-9618-500ebf3f2474,TRUE,Deltasone 10mg,
8a9fdf80-2caa-407d-96a7-a5701a140e6a,TRUE,Deltasone 20mg,
c259b78f-6dac-4749-a21f-935646bc3c0d,TRUE,Deltasone 40mg,
efb8b933-04cc-4f2f-8499-94a8b7b58027,TRUE,Deltasone 5mg,
22ce4524-954e-41c2-a995-91ef80cad806,TRUE,Diclofenac 50mg,
fb1509f8-0287-4111-a58c-e4f48fa6575d,TRUE,Diflucan 100mg,
f32f7a3f-d27f-412d-a91c-d8d99fad464e,TRUE,Diflucan 150mg,
f944281f-8655-4897-9fdb-6cc038d094f9,TRUE,Erythromycin 125mg/5ml,
7a6c2021-7be0-46eb-bc03-b88b6d2f5ba6,TRUE,Erythromycin 250mg/5ml,
ef56eef4-8be8-4c7b-af5b-38577d7b0e96,TRUE,Eucerin,
89e1bd4d-2d1e-4c1b-92ca-1d997943020d,TRUE,Flagyl 500mg,
f6f88eca-f59c-4859-8a7a-d005a59691ce,TRUE,Flexeril 10mg,
52b9f66b-cb47-487a-9452-00e036fe1dd8,TRUE,Flonase 50mcg,
6b8a0e60-09ee-4d93-b46a-3ab8cab22b29,TRUE,Gatorade,
1fb6be75-14f1-4171-af87-2a7fb223a806,TRUE,Gentamicin 0.3%,
85dc7fa9-2cbb-42ca-a7a8-244465f4f737,TRUE,Gentian Violet 1%,
9a0b84c9-6c80-4fc0-9764-43a870b2a432,TRUE,Hydrocortisone 1%,
f116a3d6-3019-4e7c-9a1f-42c681144a31,TRUE,Hydrocortisone 2.5%,
c15080cf-f142-46be-8dd3-7193958c4e93,TRUE,Inderal IR 10mg,
22e9616c-b0c0-4d3e-95e9-173750386d61,TRUE,Inderal IR 20mg,
23e8de30-5b3c-4371-a185-200556fa0951,TRUE,Inderal IR 40mg,
997f4df8-0cdd-47bc-ba71-a01c6bcd3b89,TRUE,Inderal IR 60mg,
ec734d5e-53c3-4d59-8c3a-3ce9c9360bc9,TRUE,Iron IR 325mg,
9bab903e-6312-4c6a-95dc-149c86e752ad,TRUE,Lasix 10mg,
db08ac66-5b79-4e29-a799-6c9b76d3c40b,TRUE,Lasix 40mg,
7edcd7d4-ca9f-45f8-b591-bcf0985e7213,TRUE,Lasix 60mg,
cf76df0e-4571-4f7a-9a66-cb7122134077,TRUE,Lasix 80mg,
39c32716-b384-4dd8-84c7-324786e015b3,TRUE,Levaquin 500mg,
d88a415d-1532-4d6e-9b47-b0264aa84485,TRUE,Metro-gel 0.75%,
92e5fe31-7eb4-4bdc-a245-e359715eee0e,TRUE,Motrin Chilren's 100mg/5ml,
5939e5cd-cc6e-470a-bd7d-d1353e9174be,TRUE,Motrin Infant's 50mg/1.25ml,
9dcd95b2-afe2-4d51-8b88-17211966fd65,TRUE,Neosporin,
c6308b9c-00f1-476c-aa61-745bb26e0f71,TRUE,Neurontin 300mg,
294c26b6-a5c8-454e-b9b7-16d103584b3d,TRUE,Neurontin 600mg,
9a118208-e8a4-4af2-bb3a-f0bf02649e75,TRUE,Neurontin 900mg,
84945f45-3a3c-4d57-bc34-b474cf7ad612,TRUE,Prevacid 15mg,
b73ac801-cf29-4e21-a2b2-a5288222d34c,TRUE,Prevacid 30mg,
5a244df6-7cee-44da-89b0-f9bf732ffbed,TRUE,Proscar 1mg,
1baa0c9d-5c1b-4673-bc8b-732c556c7c68,TRUE,Proscar 5mg,
7a4861ec-81ab-4989-95b6-df5a9bd16651,TRUE,Protonix 40mg,
e61b5364-5d97-40bd-9557-a555f232fc43,TRUE,Proventil 200mcg,
b8655f3b-ec83-418a-b767-54c053fbd743,TRUE,Proventil 400mcg,
c9544877-0a60-462f-9b7c-c8bb57380831,TRUE,Pulmicort Flexhaler 180mcg,
